cpt_code,median_price
17000,66.31
17003,6.47
17004,161.73
17106,337.7
17107,438.94
17108,622.67
17110,109.98
17111,129.06
17250,82.16
17260,97.04
17261,144.27
17262,173.05
17263,187.61
17264,201.52
17266,229.01
17270,146.21
17271,162.06
17272,183.08
17273,203.46
17274,238.39
17276,276.24
17280,137.15
17281,174.99
17282,199.9
17283,236.78
17284,269.12
17286,347.72
17311,661.16
17312,399.48
17313,621.38
17314,382.34
17315,78.28
17340,51.43
17360,120.01
19000,94.13
19001,25.23
19020,447.35
19030,156.88
19081,470.97
19082,358.4
19083,465.79
19084,351.61
19085,711.95
19086,547.63
19100,141.68
19101,310.2
19105,2115.78
19110,467.73
19112,441.85
19120,510.43
19125,562.83
19126,154.62
19281,231.92
19282,162.7
19283,247.13
19284,177.91
19285,342.87
19286,278.18
19287,590.32
19288,452.53
19294,159.14
19296,3346.89
19297,90.57
19298,831.31
19300,564.12
19301,647.25
19302,889.21
19303,940.31
19305,1122.1
19306,1196.82
19307,1155.09
19316,778.26
19318,1072.29
19325,606.5
19328,546.66
19330,635.61
19340,746.88
19342,748.82
19350,814.48
19355,740.09
19357,1140.54
19361,1523.84
19364,2648.21
19367,1729.89
19368,2113.52
19369,1964.08
19370,661.49
19371,701.6
19380,794.11
19396,261.04
20100,584.5
20101,537.6
20102,576.74
20103,544.07
20150,987.86
20200,207.66
20205,292.41
20206,206.37
20220,219.96
20225,358.4
20240,135.86
20245,332.52
20250,386.54
20251,425.03
20500,122.59
20501,133.91
20520,212.19
20525,452.2
20526,80.87
20527,86.04
20550,56.61
20551,55.96
20552,50.78
20553,58.55
20555,329.93
20560,24.58
20561,35.9
20600,52.4
20604,80.87
20605,53.37
20606,87.34
20610,63.4
20611,96.39
20612,63.72
20615,241.3
20650,229.01
20660,235.16
20661,514.96
20662,520.46
20663,479.7
20664,887.91
20665,116.77
20670,339.31
20680,582.88
20690,589.03
20692,1114.34
20693,446.71
20694,425.68
20696,1139.89
20697,1641.91
20700,81.19
20701,61.78
20702,138.44
20703,101.57
20704,145.56
20705,120.33
